id	A	B	C	D	E	F	G
0			B1	B1	B1	B1	B3
1			B1	B1	B1	B1	B1
2	A2	A2	B3	B3	B2	B1	B3
4	B1	B1	C1	C1	B2		
5	B2	A2	A3	A2			
7		B2	B2	C3	C3	C3	C3
8	B2	A2	A2	A2	B1		
9		B2	B2	C3	C3	A2	
10	B2	A1	B1	B2	A3	B3	C2
11	A1	A1	B2	B2	A3	A1	B2
12	B1	B1	A2	B3	A3	B2	B1
13	A1	A1	A1	A1	B2	C2	B2
14	B2	B3	B3	B3	A3	B3	B2
15	B2	A3	A2	B2			
16	A2	A1	A1	B1	B1	A1	A1
17	A1	B2					
18	B2	A2	B2	B2	B2	B1	C1
19	A1	B2	C2	B2			
20	B2	B2	A3	A3			
21	B2	C2	B2	A2	A1	B1	C1
22		B2	A2	A2			
23	B2	C1	C1	C1	B2		
24	A2	C2	B2	B2	B1	A2	B2
25			B2	C2	C2		
