id	A	B	C	D	E	F	G
0	B1	B1	B1	B1	B2	B3	B2
1	B2	B2	B2	B3	C2	B2	
2	B2	A2	A2	A2	B2	B3	B3
3	B2	B2	C3	C3	B2	A2	
4	B2	C1	C1	C2	B2		
5	B2	A3	A2	B2			
6	A1	A1	B2	B2			
7	B1	B2	C3	C3	C2	B2	B1
8	B2	A1	A1	A1	A2	B1	
9	A2	A2	A2	A2	A2	B2	C3
10	A1	B1	B1	C2	C2	C2	C2
11	B2	A1	A2	A3	A2	A1	B2
12	B1	A2	A3	A3	A3	B3	B2
13		B2	A1	A1	A1	A1	
14	B2	B3	B3	B2	A3	B3	B3
15	B1	C1	B2				
16	B	A1	A1	A1	B1	B1	B1
17	A1	A1	B2				
18	B1	C1	B1	B2	B3	B2	A1
19	B1	C1	B1	B1	C1	C2	
20	B2	B2	A3	A3			
21			A2	A2	A2	B1	B1
22		B2	A2	A2			
23	B2	C1	C1	C1	B2		
24	B2	B2	C2	C2	B2	B1	A1
25			B2	C2	C2		
