id	A	B	C	D	E	F	G
0			B2				
1		B2	C2	C2			
2	B2	C2	B2	B2	A2	A2	B1
3	B2	B1	B1	A2	A2	A2	
4	B2	A3	B3	B2	B2	C1	C1
5	B2	A2	A2	A2	B1		
6	B2	B2	B2	B2	B2	B1	B2
7	C1	C1	C1	C1	B2		
8	B2	B1	B1	C2	C2	B1	B1
9	C2	C2	C2	C1	C1	C2	B2
10	B1	A1	A1	B2	B2	B2	B2
11	B2	B3	B3	A2	A1	A2	A2
12		B2	C1	C1	C1	B1	A1
13		B2	A2	A2	A2	A2	A3
14		B2	A1	A1	A1	A2	A3
15	B2	B1	B1	B1	B2	B2	C1
16	B2	C2	C2	C2	B2	A2	B2
17	B1	B1	A1	A1	B2		
18	B2	B2	B3	B3	B2		
19	B2	C1	B1	B1			
20	B2	B2	A2	A2			
21	B2	B3	B3	B3	B2		
22	B2	B1	B1	B1	B1	B1	B1
23		B2	B3	B3	B3		
24	B	B2	A2	A2	A1	A1	A1
25	B2	B1	B1	C2	C3	C2	C1
26	B2	A3	A3	A2	B2		
27			B1	B1	B1	B1	A2
28			B2	B3	A3	A3	
