id	A	B	C	D	E	F	G
2				B2	B2	B2	B2
3		B2	A2	A2	A2		
4			B2	A1	A1	B1	B1
6			B2	B3	B3		
9	C2	C2	C1	C1	C1	B2	
10	B2	B2	B2	B2	B2	B2	
11	B2	A3	A2	A2	A1	A2	A3
12	B2	C2	C2	B2	A1	B1	C1
13	B2	B2	B3	A3	B3	A2	A2
14	B1	A1	A2	A2	B2	A1	A2
15	C1	C1	C2	C2	C2	C1	B1
16	B2	C2	C2	C2	B2	B2	B2
17	B2	A1	A1	A1	B2		
18	B2	B3	B3	B2			
19	B2	C1	B2				
20	B2	A2	A2	A2			
21	B2	B3	B3	B3	B2		
22	B2	B1	B1	B1	B1	B1	B1
23	B2	C2	B3	A3	B2		
24	B2	B2	A2	A1	A1	B1	A2
25	B1	B1	B1	B1	C2	C3	C2
26	B2	A3	B2	B2			
27	B	B2	A2	A2	A2		
28			B2	B3	A3	A3	
