id	A	B	C	D	E	F	G
0	A1	B2					
1		B2					
2				B2	B2	B2	B2
3	B2	B1	B1	A1	A1	B1	C1
5				B2	A1	A1	
6	B2	A3	A3	B3	B3	B2	
7			B2	B2	B2	B2	
8	A1	B1	C2	C2	C2	B2	
9	B1	B1	B1	B2	B2	A2	B1
10			B2	C3	C3	C3	C3
11			A1	A1	A1	A1	B1
12		B2	C2	C2	C2	B1	B1
13	B2	C3	B2	A2	A3	B2	
14	B2	C1	C1	B1	B2	B2	B1
15	B2	C3	C3	C3	C2	C2	
16		A2	A2	A2	A2	A1	
17	B2	C1	C1	C1	C1	B1	A1
18	B2	A2	A2				
19		B2	B2				
20		A1	A1	A1	A1	A1	B2
21		B2	B2	A3	A3	A3	B2
22	B2	B1	A1	A1	A2	A2	A1
23		B2	C2	C2	C2	C2	C3
24		B2	A1	A1	B1	B1	B2
25		A2	A3	A3			
26	B2	A1	B2	B2			
27			A2	A2	A2	B2	B3
28	A2	A1	B2				
