id	A	B	C	D	E	F	G
0	B1	B2	C3	C2	C2	B1	B2
1	B2	B2	B2	A1	B3	B3	A3
2	A1	A1	A1	A2	A3	B2	A2
3	B1	C1	B1				
4	A1	B2	B2	B2	B2		
5	A2	A1	B1				
6	B2	C1	C1	B1			
7	B1						
8	B1	A1	A1	B2			
9	B2	B3	A2	A1	A2	B2	B1
10	A1	A1	B1	C2	C2	B1	A1
11	B1	C2	C2	C3	C3	B3	B2
12	B1	B1	A2	A2	A3	A2	A1
13		B2	C2	C2	C2	B2	A2
14	B2	C1	C1	C2			
15	B2	B2	B2	B1	A2	B3	A2
16		B2	C2	C2	C2	C3	B2
17		B2	B2	B2	B2	B1	B1
18	B2	C2	C3	C3	B2		
19			A2	A2	A2		
20	B1	C1	C1	C1	B1	A2	B1
21	B2	B3	A3	A3	A2	B2	A2
22	B3	B3	C3	B3	B3	B3	A3
23	A2	A2	A2	A2	B2		
24		B2	B1	B1			
25			B2	B1			
