id	A	B	C	D	E	F	G
0			A2	A2	A2	A2	
1		B2	B2	B1	C2	C2	C2
2			A2	A2	A2	A2	A3
4			A2	A2			
5	B3	B2					
6			B2	B3			
7	C1	C1	C2	B2	A3	B2	B1
8			B1	B1			
9	A2	B2					
10	B3	A2	A2	B2	C3	C2	C1
11	C1	C2	C2	C2	C3	B2	A1
12		B2	A1	A1	A1		
13	A2	A3	A3	B2	C2	C2	B2
14		B2	C1	B1	B1	A1	A2
16				A2	A3	A3	
17	B2	C3	B2	C3	C3	C3	B2
18	B	A2	A2	A2	B1	A2	A2
19			B2	C3	C3		
20	A1	A1	B2				
21	C1	C1	C2	C2	A1	A1	B2
22	B1	B1	A1	B1	A1	B3	B2
23	A2	C2	C2	C2	B3	B3	B1
24	B2	A3	A3	C2	B2	A1	B2
25	A2	A1	B1	B1	B2		
26	B2	C3	C3	B2			
