id	A	B	C	D	E	F	G
0	B1	B1	B1	A2	A3	B2	
1		B2	B2	C2	B1	C2	C2
2				B2	B3	B3	B3
3	A2	A3	A2	B2			
4			A2	A2	A2	A2	A2
5	B1	C1	B2	B3	B2		
6	B1	B2	B3	B2			
7	B2	C1	C1	C1	C2	A3	A3
8			B1	B1			
9	A2	A2					
10			A2	A2	A2	A2	B2
11	B2	B2	C3	C2	C2	B1	A1
12		B2	B2	B2	A1	A1	
13	B2	A3	A3	A3	B2	C2	C2
14			B1	B1	B1	B1	B1
15	B1	B1					
16				A2	A3	A3	A3
17	B2	C3	B2	C3	C3	C3	B2
18	B	A2	A2	A2	B2	B2	
19			B2	C3	C3		
20	A2	B1	B1				
21	C1	C1	C2	C2	A1	A1	B2
22	A1	A1	A1	B3	B3	B3	C3
23	B1	C2	C2	C2	B3	B3	B2
24	C2	B2	A2	B2	B2	B2	B2
25	A2	A1	B1	B1	B2		
26	B2	C3	C3	B2			
