id	A	B	C	D	E	F	G
0	B2	C3	C3	B2			
4				B2	B1	B1	B1
5		B2	B2	A2	A2	B1	
6	A1	B2	C3	C3	B2		
7	B2	A2	B2	C1	C1	B2	
9	B2	C3	B2				
10		B2					
11	B2	C1	C1				
13			B2	C2	C2	C2	
14		B2	C1	C1	C2	B3	B3
15	B2	A3	A2	A2	B2		
16		B2	C2	C2	C3	B2	A1
17	B1	B1	B1	B1	B1	B1	C1
18		B2	B3	B3	C3	B2	
19			B2	A2	A2	A2	
20		B2	A1	A1	A2		
21		B2	B2	C2	C2	C2	B2
22		B1	B1	B1	B1	B1	B1
23		B2	C1				
24		B2	A1	A1	A1	A1	A1
25		B2	A3	A3	A3		
26			A1	A1	A1	A2	
27		B2	A2	A2	A2	B3	C3
28		B2	B2	B2	B2	A3	B3
29	B2	C1	C1	C1	B1	A1	A1
30	A2	A1	A2	A2	A2	A2	A2
31		B2	C2	C2			
32	B2	B1	A1	A1	A1	A2	A3
