id	A	B	C	D	E	F	G
0		B2	B2	A3	A3	A3	
2	B2	B2	B1	B1	A1	A1	B2
5			B2	B2	B2	B2	
6	B	B2	A2	A2	A2	A2	B3
7		B2	B1	B1			
9	B1	B1	B1	B1	C1		
10		B2	C2	C2	C2		
11	B2	A1	A2	A2	A2	B2	A2
12	B2	B1	B1	C1	C2	C3	C2
13			B1	B1	B1		
14	B2	C2	C2	C2	C1	B2	
15	C2	C2	C1	C1	B1	C1	B1
16	B2	B3	B3	B2			
17	B2	B2	B2				
18	B2	A1	A1	A1	A1	B1	B2
19	B2	B2	B3	A3	B3	B3	B2
20	C1	C1	B1	C1	B1	B1	B2
21		B1	B1	B1	A1	A2	A3
22	B2	C2	B2	C1	C1	B1	B2
23	B2	C1	C1	C1			
24	B2	A2	A3	B3	B2	A2	A1
25	C1	C1	C2	C1	C1	C1	B1
26	B2	A2	B2				
27	B2	A3	B3	B2			
28	B2	B1	B1	B1			
29			B2	A2	A2		
30				B2	A2	A2	A2
