id	A	B	C	D	E	F	G
0	B1	B1	B1				
1	B2	B1	B1	B2	B2	C1	C1
2	B	B2	A2	A2	A1	A1	
3		B2	B1	B1	B1		
4	B2	B3	B2	C2	C2	B2	
5	B2	B3	A3	B3	B2		
6	C1	C1	B1	C1	C1	B2	
7	B2	B3	B3	A3	A2	A2	B1
8	B1	B1	A1	A1	B2	B2	A2
9	B2	A2	A2	A2	B2		
10	B2	A2	B1	B2	C2	B2	B3
11	A1	B1	A1	A1	A1	C1	B2
12		B2	B3	B3	C2		
13	B2	A2	B2	B2	B2	B2	B2
14	A2	A2	B1	B1	C2	B2	A2
15		B2	C2	C2	C2	B3	B3
16	B2	C2	B2	A1	A1	A1	A2
17	B3	A2	A2	A3	A2	A1	B2
18	B2	C2	C2	C2			
19	B1	A1	A1	A2	A2	A3	A3
20	B2	B3	B3	A2	B2	B2	B1
21	C2	C2	B1	B2			
22	B2	A3	B3	B2			
23		B2	B1	B1	B1	B1	C1
24	B2	B1	B1	C1	C1	B1	
25	B2	B1	B1	B1	B2	B3	B3
26				B2	B1	B1	
27			B2	C1	C1	C1	B1
