id	A	B	C	D	E	F	G
0	B2	B1	B1	C2	B2		
1	B2	C3	C2	C3	B2		
2	A1	A2	A3	A3	B2		
3	A2	A1	A2	B1	A1	A2	
4	B2	C1	C1	B2	A2	A2	A1
5	B1	B1	C2	B1	B2	A3	B2
6	A1	A2	A2	A2	B2		
7		A2	A2	B2	B2		
8	B2	A2	A2	A1	A1		
9	B1	C1	B1	B1	A1	B1	A1
10		A1	A1	A1	C2	C2	
11		B2	C2	B1	A1	A1	A1
12	A1	A1	A1	B1	B1	B2	B2
13		B2	A1	A1	B2	B2	B3
14	B2	C1	C1	C1	B2		
15	B2	C2	C2	C3	C3	B2	
16		B2	B2	B2	C2	B2	B1
17		B2	B2	B2	B2	B2	B2
18	B2	C3	C3	B2			
19			B2	C1	C1	C1	B2
20		B2	A1	A1	A1		
21		B2	C1	C1	C2	C2	C3
22	B2	A3	A2	A2	A2	B3	
23			B1	B1	B1	A2	
24	B2	A1	B2	B2	B2	B1	B1
25			A2	A2	A2		
26		B2	B2	C1	C1	B2	
27	B	A2	A2	A2	B2	C2	
28		B2	A1	A1	B1	B1	
29		B2	B2	B1	B1		
30	B2	B1	B1	B2	A3	A3	
31		B2	B3	B3			
