id	A	B	C	D	E	F	G
0	B1	B1	A2	A1	A1		
1	A1	B1	B1	A1	A1		
2	B2	A2	A2	B3	B2		
3	B1	B2	C2	C3	C2	B2	
4	A1	A1	A1	B2	B2	C3	B2
5	B2	B3	B3	B2			
6	B2	A1	A1	A1	B1	B1	A1
7	A2	A2	B2	C2	B2	A3	A3
8	A2	A2	A3	A2	A2		
9	B	B2	C2	B1	B1	B2	B2
10	B1	B1	A1	A1	A1	A2	A3
11				B2	B2	B2	B2
12	B2	C1	C1	C1	C2	B1	B2
13		B2	B2	B2	A2	B2	C1
14	B1	C1	B1	B1	A1	B1	C2
15		A2	A2	A2	B2		
16	A1	B1	C2	B2	A2	A2	B2
17	B2	B2	A1	A1	B2	C3	B2
18	B2	C3	C3	B2			
19	B2	B2	B2	B2	A3	B3	B2
20	B2	C2	C1	C2	C2	B2	
21	A2	A2	A2	A2	B1	B1	B2
22				B2	B1	B1	
