id	A	B	C	D	E	F	G
0			A2	A2			
1	B2	C1	C1	C1	B1		
2		B2	C1	C2	C2	C2	B3
3			B2	C3	C3	C3	C2
4		B2	A1	A1	A1	A2	A2
5		B2	A2	A2			
7	C3	B3	B2				
8			B2	B1	B1		
9	B1	A1	B2	B2	B3	B3	B2
10	A2	A1	A1	B1	A1	A1	A1
11	A1						
12			A2	A2	A2	A2	A1
13	B2	C2	C2	B3	A3	B2	B2
14		B2	B2	B2	B2	A1	
15	B1	B1	A1	A1	A3	A2	A2
16	B2	C2	B2				
17	B2	B2	B1	B1	B1	A2	A2
18	B1	C1	C1	C1	B1	B2	B2
19		B2	C3	C3	C2	B1	B2
20	B2	C3	C2	C1	B2	B3	B2
21	B	A2	A2	A2			
22	B2	C3	C2	B2	B3	A3	B3
23			A2	A2	A2	A2	
24		B2	A1	A1	A1		
25	B2	A3	A3	A3	A3	A2	A3
26		B2	B2	C3	B2		
