id	A	B	C	D	E	F	G
0	B2	C2	C2	C2	C2	B3	B2
2		B2	C2	C2	C2	C1	
3	B1	B2					
4		B2	C1	C1	B1		
5	B2	C3	C3	B2			
6			B2	B2	B2	B2	
7	A1	A1	A1	A1			
8	A1	A1	B1	C2	B2	A2	
9	B2	B2	B2	B1	A2		
10	B2	B3	B3	B2	B3	A2	A3
11	B2	B2	A3	A3			
12	C2	C1	B2	B2	B2	C3	C3
13		B2	B2	C3	C3	B2	A1
14	A2	A1	A1	A1	A1	B1	B1
15	B2	B2	C2	B2	A2	A1	A1
16	B2	C1	C1	C1	B1	C2	C2
17	A1	A1	A1	B2	C3	B3	B2
18	B2	B2	C3	B2			
19	B2	A2	A3	A2	B2	B2	B1
20	B2	A3	A2	A2	A3	A2	A2
21	B1	C1	C1	B1	B1		
22		B2	B2	C3			
23	B2	C2	C2	C2	C2	B1	A1
24	B1	C1	C2	B2	B2	B1	B2
