id	A	B	C	D	E	F	G
0	B2	B1	C2	C2	C3	B2	
1		B2	C1	C1	C1	B1	A1
2		B2	A2	A2	A2		
3			B2	A2	A2	A2	B2
4	B2	B2	B3	B3	A3	A2	A2
5	B2	A1	A1	A1	B1	B1	B1
6		B2	C1	C1	C1		
7	C2	C2	C2	B2			
8	B1	B1	B1	C1	C1	C1	B2
9		B2	B3	B3	B2	A1	
10	B2	A2	B2	B2	B1	B1	B1
11	B2	B3	B3	A3	A3	A2	B2
12	B2	B2	B3	B3	B2	B2	B2
13			B2	B2	B2	B2	B3
14	B2	A1	A1				
15	B2	B3	B3	A3	A2	A2	
16		B2	C2	C2	B1	B1	B1
17		B2	B3	A3	A3	B3	
18	B2	B1	B1	B1	B1	C1	C1
19	B2	C2	B2	B2	B2	A2	B2
20	B2	B1	B1	B1	C1	B1	B1
21	B2	B3	B3	B3	B2	C2	C2
22	B2	B1	B1	B1	A1	A2	B2
23		B2	C2	C2			
24	B2	A2	B1	B2			
25	B2	A2	A2	A2	A1	B2	
26	B1	A1	A2	A2	B2	C1	B2
27	B2	C1	C1	B2	B2	B2	B2
