id	A	B	C	D	E	F	G
0	C3	D4	D2	E2	D3		
1	C4	C5	A1	A4	A5	C3	D5
2	B2	C2	F2	D4	C5	D2	D4
3	B5	A5	C4				
4	D3	E3	A2	A4	C4		
5	D4						
6	D1	F2	D4	B6	D3	D3	
7	C3	B3	C3				
8	D4	D2	B3	C3	E3	D4	D4
9	C4	B6	B3	E1	D2	C2	
10	E3	E3					
11	F5	D4					
12	F2	E3	E4	D5			
13	E2	C2	E3	F5	D4		
14	C4	B5	C5	B4	B1	C3	
15	C4	E4	C5	B5	C4		
16	A5	A3	C2	E1	D3		
17	A2	C2	F2	D3			
18	C3	A3	B5	C6	B4		
19	E4	D4					
20	C3	B1	C3				
21	B3	D3	F1	F2	F4	F6	D6
22	F3	B5	A6	C4			
23	D2	D4	C5				
24	D4	D5	C6	F5	D4		
25	C3	D2	B2	B4	C2	C3	
26	C4	A5	A2	D4	E6	D4	
27	D1	D1	B4	C2	D2	D3	
28	F3	F2	E5	D4			
29	E2	B2	A6	A5	A4	D3	D3
30	C3	B3	E4	D5	B4	C2	
31	D6	C6	B4	C3	B3	C4	
32	F1	E2	C4	A6	D3	D2	D3
33	B4	C4					
34	D4	B5	C4				
35	D4	B4	B2	D5	D6	C4	
36	D3	D5	C5	E2	E2	D3	
37	D3	C1	D1	E4	D4	B1	C3
38	D4	F5	C2	B2	F3	F2	D3
39	B4	A6	A2	C4	D5	D4	
40	A4	C4					
41	C3	C2	E3	D1	E4	D4	
42	E5	F5	F2	E3			
43	C4	C5	D6	D4			
44	B4	C2	C2	D3	C1	D1	D2
45	F4	C3	E2	D3			
46	E2	B4	E2	D3			
47	A2	C2	B1	B4	C4	D4	
48	D1	D4	D4	F4	D4		
49	F4	E3	F5	F5	D4		
50	B5	A3	E2	F3	D5	D4	
51	E2	F4	E4				
52	C5	F3	E3	E5	D3	C3	C3
53	D6	A6	B4	B2	C5	A4	C3
54	D2	F3	F5	D4			
55	C5	D1	D1	D3			
56	D4	C6	F6	F2	D3		
57	D4	F4	D6	A6	B4	D3	
58	C3	C6	C4				
59	A3	B1	D3	F5	D4		
60	C4	E1	E3	C4	B3	C3	
61	D4	C3	A1	C3			
62	F4	C3	A5	C3			
63	B3	D4	E3	D3			
64	B3	D4	B6	C4			
65	F3	F4	E4	B4	B2	C2	
66	A6	E6	E3	E3	D4		
67		C6	C6	C6	B5		
68	A5	C4	F3	E6	D4		
69	F5	A2	A2	A2	C3		
