id	slack_time	departure_time	return_time
0	1708	-53	386
1	881	-97	804
2	3177	-13	526
3	652	-78	482
4	1751	-11	804
5	1301	-45	651
6	2781	-21	651
7	2472	-33	483
8	1469	-56	524
9	2175	-55	607
10	1533	-60	320
11	1857	-41	622
12	2252	-44	680
13	3002	0	640
14	2724	-12	365
15	1442	0	621
16	2000	-8	206
17	2112	-42	336
18	2924	-52	512
19	1279	-41	311
20	1797	-57	618
21	1100	-24	545
22	730	0	501
23	1236	-52	234
24	806	-55	282
25	733	-17	226
26	763	-32	124
27	1199	-61	511
28	687	0	194
29	2691	0	407
30	1919	0	238
31	1674	0	646
32	1710	-71	649
33	1169	-44	804
34	2884	-44	489
35	58	0	279
36	914	-47	489
37	2728	-37	704
38	2486	0	659
39	1045	-58	733
40	1258	-18	669
41	0	0	124
42	1174	-51	707
43	1131	0	431
44	909	0	443
45	2607	0	124
46	148	15	452
47	739	-72	462
48	1908	-69	516
49	1101	21	446
50	68	-74	448
51	1013	0	804
52	694	-51	259
53	80	-88	379
54	1522	-35	804
55	133	-47	403
56	48	-82	459
57	261	2	561
58	440	177	575
59	418	15	763
60	385	0	500
61	0	455	707
