id	A	B	C	D	E	F	G
0	E6	E3	E1	B2	A4	B3	D2
1	F3	F6	D4				
2	E4	E4	D6	E3	E2	D3	
3	A3	C5	F3	D3			
4	E2	D3	D3	E4	E5	D4	
5	B4	B1	D3	F5	F3	D3	
6	C2	B1	D2	C4	B4	C3	
7	D3	C2	C4	E4	E4	B3	B2
8	E5	D4	B4	B3	C5	B3	F5
9	B2	D1	F1	C2	C2	E2	B2
10	B5	C3	D1	D1	D1	E1	D2
11	B2	A1	D3	E6	F5	D4	
12	B6	C6	F3	E2	B3	B4	
13	D3	E3	D2	C3	A5	D3	
14	B4	B6	B6	A6	E6	A6	B5
15	C3	B2	E1	F2	F5	D4	
16	C4	C3	B6	B4	C4		
17	E4	D6	B5	C6	C4		
18	E3	E2	F2	F3	F3	D3	C1
19	D5	B4	A6	A6	C2	C3	
20	A5	A5	D3	E2	E2	E2	B1
21	C1	C1	C1	C1	C1	D3	D1
22	C4	D4	E3	E4	F1	D3	
23	D2	F3	C2	C2	B3	A4	C4
24	C2	B2	C3	A2	C3	F4	D4
25	B3	C3					
26	C4	E2	F1	E4			
27	C6	C6	C6	C6	F5	F5	F5
28	E3	D4	A6	D4	E3	D3	
29	D4	C2	B4	B5	A4	C4	
30	C4	A4	C5	D6	A5	C4	
31	D5	E6	F5	F3	D3	D3	C6
32	A2	B2	D1	F2	D3	B2	C4
33	B4	B5	B5	D5			
34	E2	F3	D5	B4	D5	F5	E6
35	B4	D3	D4				
36	E4	F5	F5	F5	F5	D4	A2
37	B4	C6	D6	E3	C1	D3	D5
38	C4	B4	B4	D3	F2	E1	
39	F3	F3	E2	D2	E5	F6	E2
40	D2	D2	D2	D2	B5	A5	C5
41	D3						
42	E1	F4	F5	F3	C4	A5	C6
43	F4	E3	D1	D3			
44	C4	A2	D1	D2			
45	D3	B1	A2	A2	D3		
46	D4	F4	F2	D3			
47	D1	B1	B1	B1	B4	C4	
48	A2	B1	B1	B1	B1	A6	B5
49	D3	F2	F5	E6	E6	E4	
50	E4	F6	E5	D4			
51	D4	E6	E6	E5	F1	D3	
52	B3	E3	D3	B4	C4		
53	D1	B4	C4				
54	B2	A4	A5	C5			
55	E5	D6	D5				
56	C6	C5	E3	D3			
57	F3	E3	E3	F2	D3		
58		D3	D2	D2	B1	D3	D3
59	D4	E1	E1	E1	C3	B3	B3
60	E5	E3	E3	E3	E3	B1	D1
61				C	D4	F6	
