id	A	B	C	D	E	F	G
0	A1	B1	B2				
1		B2	A1	A1	A1		
2	B2	C3	B2				
3	B2	C2	C2	C3	B3	A3	B2
4		B2	B2	A2	A2	B2	B2
5	A1	A1	A1	B2	A2	A2	A1
6	A1	A1	A2	A2	A1	A2	B2
7	B2	A3	A2	A1	B2	B3	B2
8	B2	A2	B2	C3	C2	C2	B2
9	B1	C1	C1	C1	B1	A1	A1
10	B2	C3	C3	B2			
11	B2	B1	A1	A1			
12		B2	B2	C2	B3	A3	B3
13		A2	A2	A2	A2	A1	B1
14	B2	A1	B1	C1	B1	B1	
15		A2	A3	A3	A3		
16		B2	B2	C1			
17		B2	C2	B2	B3	C2	
18		B2	A2	A2	B1		
19	B	A2	A2	A1	A1		
20		B1	B1	B1			
21			B1	B1	B1	B2	B3
22	B2	C1	C1	C2	C2	B2	
23		B2	A2	A2	A2	B2	
24		B2	C3	C3			
25		B2	B3	B3	B2		
26		B2	B2	B2	B2	B2	A3
27			B1	B1	B1	B1	C3
28	B1	B1	B1	B1	B2		
29		B2	B2	B2	A2		
30		B2	B1	B1	B1	C1	
31		B2	B2	C2	C2	C3	
32				B2	B1	B1	
33			B2	B2	B3	B3	B2
