id	A	B	C	D	E	F	G
0	C3	A4	A3	C3	D3	C2	
1	D2	C2	C1	D2	A1	B2	
2	B2	A3	A4	B2	C1	A2	B2
3	B2	B3	C1	D2	D1	D1	C2
4	C3	C4	C4	B3	A2	B2	
5	C3	B4	A4	B3	C2		
6	B2	C4	D4	C4	C3	C1	C2
7	B2	D3	D1	C2	B1	A2	A3
8	C2	D2	B1	A4	B3		
9	B3	B4	D3	D1	C2		
10	C3	C1	D2	C4	C3		
11	B2	B4	C4	B4	D1	C2	
12	B3	B4	A3	C3	D3	B3	
13	B3	B1	A1	C3	C4	D2	C2
14	B3	B4	D4	D3	D2		
15	B3	C3	B2	C1	C1		
16	C3	B2	B1	D3	D3	C2	
17	C3	D4	B4	B2	B1	B2	
18	B3	C4	B2	B4	B3		
19	B2	A2	C1	D1	D2	C1	
20	B3	C4	D3	D1	A1	B2	
21		C3	D4	D4	C4	A3	
22	A2	A2	D2	D2	D3	C3	
23	C3	C4	C2	C1	B1	C2	B3
24	C3	C3	A3	A4	C4	C3	
25	B2	D2	D4	D4	D4	B3	B3
26	B3	A4	A4				
27	B2	D2	D2	C2			
28	B2	A1	D2	D2	A1	B2	
29		C2	D2	D2	D1	B2	
30				B3	A4	A4	
