id	A	B	C	D	E	F	G
3		B2	C2	C2	C2		
5		B2	B3	A3	A3	A3	B2
6	B2	B1	B1	B1			
7	B2	B2	A2	A2	B1		
8		B2	B3	B2	B2	B2	B2
9	B2	B1	B1	C1	B1	B1	B1
10	B2	A1	A1	A1	A2	A2	B2
11	B2	C2	C2	C2	C2	C2	C1
12	B1	B1	A1	A1	A1	B2	
14	B2	B1					
15			B1	B1	B1	B2	B2
16		B2	B3	B3	A2	A2	A2
17		B2	C2	C2	B2	B2	
18	B2	B2	A2	B2	B2	C1	B2
19	B2	A3	B3	B3	B3	A3	A3
20		B2	A2	A2	A2	A1	
21	B1	B1	B1	A1	A2	A2	B2
22	C2	C2	C2	C3	C3	B2	
23	B1	A1	B1	A1	A1	A1	A1
24	B2	B1	B1	B3	B3	B2	C1
25	B2	B3	B3	B2			
26	B	B2	A2	B2	C1	C1	B2
27				B1	B1	B1	
28				B2	A2	A2	A2
