id	A	B	C	D	E	F	G
1			B2	C2	C2	C2	C2
2			A2	A2	A2	A2	A3
3		A2	A3	A3	A1	A2	
7		A2	A2	B2	B2	A3	B2
8		B2	A1	A1	A1	B1	A2
9	A1	B1	B1	B1	B2		
10		B2	C1	C1	B2	A2	A2
11	A2	A1	B1	B1	A1	A1	
12			B2	B3	B3	B3	B2
13	B2	C3	C3	C3	C3	B2	
14		B2	C2	B2	A2		
15	B2	C3	C2	B1	A1	A2	B2
16		B2	B2	A2	B1	B1	B1
17	B2	A2	B2	C3	B2	B3	B2
18		B2	A3	A3	A3		
19		B1	B1				
20		B2	B2	C2	C2	B3	A3
21		B2	A2	A2	B3	B3	B3
22			A2	A2	A2		
23		B2	B2	B2	C2	C2	B2
24	B1	B1	A1	A1	B2	B3	B2
25		B2	B2	B1	A1	A1	
26	B2	C1	C1	C1	B2		
27	B2	B1	B1	B1	B1	A1	B1
28	B	A2	A2	A2			
29						B2	B2
30						A1	A1
