id	A	B	C	D	E	F	G
0	B2	B1	B1	B2	A3	B3	A2
1	B2	B3	A2	B2	C1	C1	B1
2	C1	B1	A2	A3	A2	B2	
3	B2	B1	B1	B1	B3	B3	A2
4	B1	B2	B2	A3	B3	B2	
5	A1	B1	C1	B1	A1	A1	B2
6	B1	C1	C1	C2	C2	B2	B1
7	B1	B1	A1	A2	A2	B2	
8	C2	C2	C2	B2	A2	A2	B2
9	B1	B1	B2	B2	B2		
10	A2	A2	B2				
11	B2	B1	B1	C1	B1		
12	B2	A1	A1	B1			
13	A2	A1	A1	B1	C1	B1	B2
14	B2	C2	C2	C2	B3	B3	B2
15	B3	B2	B1	A1	A1	B2	B2
16		B2	C2	C2	B2	B2	
17	C2	B2	B2	A2	A2	B2	B2
18	C2	C2	C1	B1	B2		
19	C1	B1	A1	A1	A1	B2	B2
20	A2	A2	B3	A3	B3	B2	B2
21	B2	A2	B2	B1	B1		
22			B2	A2			
23				B1	B1	B1	
