id	A	B	C	D	E	F	G
0				B2	B3	B3	B3
1			B1	B1	B1	B1	B2
2	B2	C3	C3	C2	C2	B2	B1
4	B2	B2	A3	A3	B2	C2	
5		B2	B1	B1	B1	B1	B2
6		B2	B2	C3	C3	C3	C3
7	B2	B3	B3				
8	B2	B1	B1	A1	A2	A3	A2
10		B2	C1	C1	C1		
11		B2	C1	C1			
12		B2	A1	A1	A1	A1	A1
13	B2	C2	C2	B2	B1	A2	A2
14	A1	A2	A2	B2	B3	B2	
15	B2	C1	C1	C2	B2	A1	A1
16	B2	A1	A1	A1	B2	B2	B2
17	B2	C1	C2	C2	C2	C2	C1
18	B1	B1	C1	C2	B2	B2	
19	B2	A2	A2	A3	A2		
20	B1	B1	A1				
21	A1	A1	B1	B1	A1	A1	A2
22		B1	A1	A1	A1		
23	B2	A2	A2	A2	B1	B2	
24	B2	A3	A2	B2	B2	B3	A2
25			B2	B2	B2		
26				B2	B1	B1	
