id	A	B	C	D	E	F	G
0	B2	A1	B1	B2	B3	B3	A3
1			B1	B1	B1	B1	B2
2	B2	C3	C3	B2	A2	B1	B1
3	B2	B1	B2				
4			B2	C2	C2	C2	C2
5	B2	C2	C1	B1	B1	B2	B3
6	B2	A2	A3	A3	C3	C3	C1
7	B2	B3	B3	C2			
8		B2	B2	B2	A1	A2	A2
10		B2	C1	C1	C1		
11		B2	C1	C1			
12	B2	A1	A1	A1	A1	A1	A1
13	B2	C2	C2	B1	B1	B2	A2
14	A1	A2	A2	B3	C2	B2	
15	B2	B2	C3	C3	B2	B2	A1
16	B1	B1	B2	B2	B3	B2	
17	B1	C1	C1	C2	C2	C2	C1
18	A1	B1	C2	C2	A2	A2	B2
19	B2	A2	A2	A3	A3		
20	B2	A1	A1	A1	A1		
21	A2	A2	B1	B1	A1	A1	A1
22		B2	A1	A1	A1	A2	
23	B2	A2	A2	A2	B2	B2	
24	B2	A3	B2	C3	B2	B3	B2
25			B2	B2	B2		
26				B2	B1	B1	
