id	A	B	C	D	E	F	G
0	B2	A2	A2	A2	B2	C2	B2
1	B1	B1	B1	C1	C1	B2	
2	B2	A2	A1	A1	B2		
3	B2	A3	A2	B1	B1		
4	B2	B3	B3	B3	C2	C2	
5		B2	B2	B2	B2		
6	B2	B3	A3	A2	A2	B2	
7	B2	C2	C1	B1	A2	A2	B2
8	B2	B2	B3	B3	A3	A2	A1
9	B2	B2	B2	A1	B1		
10	B2	A1	A1	B2	C2	C2	C1
11	C1	C1	B1	A1	A1	A2	A3
12	B1	B1	B1	A2	B2	B2	A2
13	B1	B1	A1	B2	B3	B3	B2
14	C1	C1	B1	A1	B2	B2	B2
15	C2	C2	C3	C2	B2		
16	B2	C2	B2	B3	A3	B3	C2
17	B2	C2	B2	B3	B3	B2	
18	B2	B1	B1	B1	C1	B1	A1
19	B2	A2	A2	A1	B1	A1	B1
20	B1	B1	A1	A2	A2		
21	B1	B1	B1	C1	C1	B2	
22	C2	C2	C2	B2	A2	A2	B2
23	B2	A2	A2	A2	A3	B3	B2
