id	A	B	C	D	E	F	G
0	B	A2	A2	A2	A2	A1	
1	B2	C3	C3	B2			
2	B2	A2	B2	B2	B2	B3	B3
3		B2	B2	C2	B3	A3	B2
4	B2	A3	A2	A2			
5	B2	C2	C3	B2			
6	B1	B1	B1	A1	B2		
7		B2	C1	C1	B1	A1	B1
8	B2	C3	B2	B1	C2	C2	
9		B2	A1	A1	A1		
10	A1	A1	A2	A2	A1	A2	
11	B1	C1	C1	C2	C2	B2	
12		B2	C2	C2	C2	B3	
13	B2	C1	C1	C1	C2	B2	B2
14		B2	B2	A3	A3		
15	A2	A1	B1	B2	B2	B2	
16		B2	B3	B3			
17	B2	B1	B2	B3	B2	A1	B2
18		B2	A1	A1	A1	B1	
19		A1	A1	A1	A3	A3	
20	A1	B2	B1	A1	A2	A2	A1
21		A2	A3	A3	B3	C3	B3
22		B2	B2	B1	B1	C2	B2
23		A2	A2	B1	C1	C1	
24		B2	A2	A2			
25		B2	B2	B2	B3	C3	
26	B2	A1	A2	A2	A2	B2	A3
27	A1	B1	C1	B1	B1	B2	
28	B2	C1	C1	B2	A2	A2	
29			B2	C3	C3	C3	C1
30					B2	B1	
