id	A	B	C	D	E	F	G
0			B1	B1	B1		
1		B2	A3	A3	A3		
2	B2	A2	A2	A2	A1	B2	
3		B2	C2	C1	C1	C1	B2
4		B2	B2	B1	B1	B1	A1
5			B2	A2	A2	A2	B2
6		B2	A2	A2	B2	B2	B3
7				B2	C2	C2	C2
8			B2	B2	B2	B2	B2
9	A1	B2	B3	C3	B3	B2	A1
10	B2	A1	A1	A1	A1	B1	B2
11		B1	B1	C2	C2	C2	C1
12		B2	B2	B2	B2	B1	A1
13	B2	C1	C1	C1	B2		
14	A2	A1	B1	B2	A2	A2	B2
15			B2	C3	C3	C2	
16	B1	B1	B2	B2	B2	B1	C1
17	B2	A3	A3				
18		A2	A3	A3	A2	A1	B2
19		B2	B3	B3	B2	B1	B1
20		B2	C3	C3			
21	B	A2	A2	A2			
22			A1	A1	A1	A1	B2
23		B2	A2	A2			
24			B2	C3	C3		
25				B2	C3	C3	C3
26	B2	B1	B1	B2	B3	B2	
27		B2	A1	A1	B1	C2	C2
28		B2	B2	C1	C2	C2	B2
29			A2	A2			
30	B2	C3	C3	C3	C3	C3	A3
31		B2	A1	A1	A1		
32					B2	A1	A1
