id	A	B	C	D	E	F	G
0			B2	B1	B1		
2			A2	A2	A2	A2	
3		B2	C2	C1	C1	C1	B2
4		A1	A1	A1	B1	B1	B1
5		B2	A3	A3	A3	A3	B3
6			B2	B2	B2	B2	B2
7				B2	C2	C2	C2
8		B2	C1	C1	B2	A3	B2
9			B2	B3	B3	B3	B2
10	B2	A1	A1	A1	A1	B2	
11		B	B2	C2	C2	C2	C2
12		B2	B2	B2	B2	A2	A2
13	B2	C1	C1	C1	B2		
14	A1	A2	A2	A2	A2	A2	A1
15			B2	C3	C3	C2	
16	B1	B1	B2	B2	B2	B1	B2
17	B2	A3	A3				
18	B2	A2	B2	B2	A1	A2	A2
19		B1	B1	B1	B1	B1	B1
20		B2	C3	C3			
21	B2	B1	A1	A2			
22			B1	B1	B1	B1	B2
23		B2	A2	A2			
24			B2	C3	C3		
25				B2	C3	C3	C3
26		B2	C2	C2	B2	B3	A2
27	B2	C1	C1	C2	C2	C2	C2
28		B2	B2	B2	C2	C2	C1
29			A2	A2			
30		B2	B2	C3	C3	C3	C3
31		B2	A1	A1	A1		
32					B2	A1	A1
