id	A	B	C	D	E	F	G
0			B2	C3	C3		
1	A1	B2					
2		B2	B2	B2	A1	A1	A1
3	B2	A3	A3	A3	A3	A3	B2
4		B2	A1	A1	B2	B2	B2
5		B2	C1	C1			
6	B	A2	A2	A2			
7	B2	C3	C2	B2			
8	B2	C1	C1	C1	B2		
9			A2	A2	A2	A2	B1
10		B2	C2	C2	C2	C2	B1
11		B2	A2	A2	A2	B1	B1
12	B2	C1	C1	C2	C3	C2	C1
13			B1	B1	B1		
14		B2	B2	B2	B1	B1	B1
15	B2	A2	B2	C3	B2	B3	B2
16		A1	A1	A1	A2	A2	
17	A1	A1	A1	A2	B3	A2	A2
18	B2	A1	B2	C2	C2	C2	A2
19	B1	B1	B1	B1	C2	C2	B2
20				B2	B2	B2	B2
21	B2	C3	C3	C3	C3	C2	C2
22		A2	A2	B1	B1	B1	A1
23	B2	B1	A2	A2	A3	A3	B2
24		B2	C2	B2	A1	A1	B2
25			B2	B1			
26		A2	A3	A3			
27		B2	A3	A3	A3	B3	B2
28				B2	A1	A1	A1
