id	A	B	C	D	E	F	G
0			B2	C3	C3		
1		B2	C2	C2	B2		
2		B2	B2	B2	B2	A1	A1
3	B2	A3	A2	A2	A3	A3	B3
4	B1	B1	A1	B2	B2	B2	A1
5		B2	C1	C1			
6	B	A2	A2	A2	B2		
7		B2	C2	C2	C1	C1	
8	B2	C1	C1	C1	B2		
9			A2	A2	A2	A2	B1
10			B1	B1	B1	B1	C2
11		B2	A2	A2	B2	B1	B1
12		B2	C1	C2	C3	C3	C1
13			B1	B1	B1		
14		B2	B2	B2	B1	B1	B1
15		B2	B3	B3	B2		
16	A1	A1	A2	A2	A2	A2	
17	A2	A1	A1	A2	B3	A2	A2
18	B2	A1	B2	C2	C2	C2	B2
19	B2	B1	B1	B1	C2	C2	
20				B2	B2	B2	B2
21	B2	C3	C2	C2	C3	C3	C2
22	B2	A2	A2	B1	B1	A1	A1
23	B2	B1	A2	A2	A3	A3	B2
24		B2	C2	B2	A1	A1	A1
25			B2	B1			
26		A2	A3	A3			
27		B2	A3	A3	A3	B3	B3
28				B2	A1	A1	A1
