id	A	B	C	D	E	F	G
0	B1	B1	C1	C1	B2		
1		B2	C3	C3	C3	C2	
2	B2	A2	B2				
3		B2	B2				
4	B2	B1	B1	A2	A2	B2	B2
5		B2	B3	B3	B3	A3	B2
6		B2	B2	B2	B3	B2	B1
7	B2	A3	A2	A2	A1	A2	B2
8	B2	A1	B1	C1	C1	B1	A1
9	B1	C1	C1	C2	B2		
10		B2	B2	A2	B2	B3	B3
11		B2	A1	A1	B1	B1	
12		A2	A3	A3			
13		B2	A2	A2	A2	B1	B1
14		B2	C1	B1	B1	B1	C1
15	A1	A1	B1	B2			
16		B2	C2	C2			
17	A1	B2	C3	C3	B2		
18		A1	A1	A1	A1	A1	B2
19	A1	A1	A3	A3	B2		
20	B2	C3	C2	C2			
21		A2	A2	B1	B1	C2	
22		B2	B2	B2	C2	C2	
23		B2	A1	A1	B2	B2	B3
24	B	A2	A2	A2			
25		B2	C2	B2	A2	A2	
26			B1	B1	B1	B1	A3
27	B2	C3	C3	C3	B2	B2	
28	B2	B1	B1	A1	A1		
29	B2	C2	B2	B2			
30	B2	C1	C1	C2	C3	C3	B2
31		B2	C2	C2	C2	C2	
32		B2	A2	A2	B3	B3	
33			A2	A2	A2	A2	
34		B2	A1	A1	A1		
