id	A	B	C	D	E	F	G
0	B2	C2	C2	C2	B2		
1		B2	B1	B1	A2	A2	A2
2	B1	B1	B2	C3	C3	B2	
3			B1	B1			
4	A1	A2	A2	B3	B2		
5		B2	B2	C3			
6	C1	C1	C3	C3	A2	B2	B2
7	B1	C2	B2	A2	A2	A1	B2
8	B2	A2	A2	A1	A2	A2	
9	A1	B2					
10	B2	A3	A3	A3	B3	B2	B2
11	B1	A2	A2	C2	C2	C1	B2
12	A2	B1	B1	B1	B1	B2	
13	B2	C1	C1				
14	A1	A1	A1	B2			
15	A1	A1	B1	B2	C2	C2	B2
16	B2	B2	B2	B3	C3	B2	B1
17	B2	B2	B2	A3	A2	B3	B3
18	B1	A2	A2				
19	A1	A2	B1	B1	A2	A3	B3
20	A1	A1	B2	B3	A2	A2	B2
21	B2	C1	C1	C1	B2		
22	A2	A1	A1	A1	A2	A2	B1
23	B2	C3	C3	B2			
24				B2	A3	A3	
