id	A	B	C	D	E	F	G
0		B2	C1	C1	C1	C1	C2
1	A1	B1	B1	B2			
2	C2	C2	C2	B2	B2	B2	
3	C1	B1	B1	B1	B1	B2	
4		B2	A2	A2	A2		
5			B2	C2	C3	C3	
6	C2	C2	B1	A1	A1	A2	A2
7		B2	C2	C2	C2	B2	A3
8	B1	A1	A2	B3	B2		
9	C1	C1	B1	A2	A2	A2	B2
10	B3	B2	C1	C1	B2	B2	B1
11	B2	B2	B1	B1	B1	C1	C2
12	B3	B3	B2	C1	C1	B2	
13	B2	B2	B2				
14	B2	C2	C1	C1	C1	B2	
15	B2	C2	C2	C2	B1		
16	B2	A3	A3	A3	B2		
17	B2	A2	A1	A1	A1	B1	B1
18	B	B2	A2	B1	A1	B2	A1
19	A2	A1	A1	A2	A2	B2	
20	B3	B2	B2	B2	B3	C3	C2
21	B2	B1	B1	A1	A1	A1	B2
22	C1	B1	A2	A2	B2	B1	B1
