id	A	B	C	D	E	F	G
0	B1	C1	C1	C1	C2	B2	
1	B	B2	A2	B1	A1		
2	C2	C2	C2	B2	B2	B2	B2
3	C1	B1	B1	B1	B1	B2	
4		B2	A2	A2	A2	A3	B3
5	B2	A2	A2	A2	B2	C3	B2
6	B1	A2	A2	A1	A1	B1	B1
7	C1	C1	C2	B2	A3	A3	B2
8	B1	B1	A1	B2	B3	B2	
9	B2	B2	A2	A2	A2	B2	B2
10	B3	B2	C1	C1	B1	B1	B2
11	B2	B2	C2	C1	C1	B1	B1
12	B2	B3	A3	A3	A2	B2	
13	B2	B3	B2				
14	B2	C2	C1	C1	C1	B1	
15	B2	C2	C2	C2	B1		
16	A3	A3	B3	B2			
17	B1	B1	B1	A1	A1	A1	B2
18	A1	A1	B2	B2	B2	B1	B1
19	A2	A2	A1	B1	C1	B2	
20	B3	B2	B2	B2	C2	B2	
21	B2	B1	B1	A2	A1	A1	B2
22	C1	B1	B1	A2	A2	B2	
