id	A	B	C	D	E	F	G
0	B2	A2	B2	C2	B2		
1	B2	A2	A2	A2	A2	B2	
2	B	B2	A2	A1	A2	A2	A2
3	C1	C1	B1	B1	B1	B1	B2
4		B2	C2	C2	C2		
5	B2	B1	B1	B1	A1	B1	
6	B1	B1	A1	A2	B2		
7	B2	B3	A3	A3	B2	B2	
8		B2	B3	B3	B2	B1	
9		B1	B1	B1	B1	B1	B1
10			B2	B2	B2	B2	A1
11	B2	C2	C2	C2	C1	C2	C1
12	B2	A3	A3	B3	B2	B2	B2
13	B2	C2	C1	C1	C1	C1	B2
14	B2	A2	A2	B2	B3	B3	B2
15	C2	C2	C1	B1	B1	B1	
16		B2	B1	A1	A1	A1	A2
17	B2	B2	B3	B3	B2		
18	B	B2	B3				
19	B2	B1					
20		B1	B1	B2	A2	B2	A2
21		B2	B1	B1	B1	A1	A1
22	C1	C1	B1	A1	B1	B2	
23	B2	A2	A2	A2	A2		
24	B2	A2	A3	A3	B2		
25	B2	C2	C1	B1	C2	C2	C2
26	B2	B1	B1	A1	A1	A1	A1
27		B2	B3	B3	C3	C2	
28	B2	C2	B2				
29				B2	B2		
