id	A	B	C	D	E	F	G
0	B2	C2	B2	A2	A1	A1	B2
1	B1	B2					
2	B2	A1	A1	A1	A1	B2	
3	A3	B2					
4	C1	C1	B1	A1	A2	A2	A2
5	B3	C2	B2	C2	C2	B2	B2
6		B2	A1	A1	A1		
7	B2	B2	B2	B1	B1	B1	B1
8	B2	A3	A3	A3	A2	B2	B2
9	B2	B3	B3	C3	C2	B2	B2
10		B2	C1	C1	C1	B2	
11	B1	B2	A3	A3	B3	B2	
12	C1	C1	C1	C1	B2	C1	C1
13	B2	B1	B1	A1	B1	B1	
14	B2	B3	B3	A2	B2	B1	B1
15	B1	A2	A2	A2	A2	A2	B2
16	B	B2	A2	B1	B1	A1	B1
17	A2	A2	A3	B3	B2	B2	
19	B2	B2	A2	A2	B2		
20	B2	C2	C2	C2	C2	B2	A2
21	B2	B1	B1	B1	A2	A1	B1
22		B2	B1	B1			
23		B2	C1	C1	C1		
