id	A	B	C	D	E	F	G
0		B2	C3	C3	C3	A2	
1			B1	B1	B1	B1	C2
2	B2	B1	B2	B2	B2	B3	B3
3				B2	A2	A2	A2
4	A1	B1	C2	B2	C3	B3	B2
6		B2	B2	C1	C1	A1	
8	A1	B1	A1	A1			
9	B2	C3	B2	A2	A1	A1	A1
10		B2	B2				
11		A1	A1				
12		B2	B2	B2	C3	C3	C3
13	B1	B1	B2				
14						A1	A1
15		A2	A3	A3	B2	B2	B2
16		B2	A3	A3	A3	A3	A2
17			B2	C1	C1	C1	B1
18		B2	C1	C1	B1	C1	
19	B2	A3	A3				
20			B2	C2	C2	C2	C2
21			A2	A2	A2	A2	B3
22				B2	A3	A3	A3
23	A1	A1	B2	B1	B1	B2	
24	B2	A1	B2	B2			
25	B2	C1	C1	C1	B2		
26		B2	A1	A1	A1	B2	B3
27				B2	C2	C2	C2
28				B2	C3	C3	C3
29		B2	B2	A3	A3	A3	A3
30	B2	B1	B1				
31		B2	A2	A2	A2	A1	A1
32				B2	C2	C2	C2
