id	A	B	C	D	E	F	G
0	A2	A3	A2	B1	A1	B1	A1
1		B2	B1	B1	B2	B3	C2
2	B2	B2	B2	A3	B2		
3	A2	A2	B2				
4	B2	B1	A1	A2	A2		
5	B2	A2	A2	B2			
6		B2	B3	C3	C3	B3	
7	B2	A1	B2	B3	B2	B3	
8	B2	B1	A1	A1	B2		
9	A1	A1	B2	A2	B1	C1	C2
10	B1	B1	B1	B1	B1	B2	
11		B1	A1	A1	A1	A1	B1
12	A1	B1	B2	A3	B3	C2	C2
13	B1	B1	A2	A2	A2	A1	B1
14	B2	A2	A3	A3			
15	B2	C1	C1	B1			
16		B2	C1	C1	C1	B1	
17	A1	A1	A1	A1	A1	B1	C1
18		B2	A2	A2	A2	A3	A3
19	A2	A2	A2	B2	B2	B2	B1
20	B2	C2	C3	B2	A2	A2	
21	A2	A2	B2	C2	B2		
22	B2	B3	C2	C3	C3	C2	B2
23	B2	B2	A1	B1	B1	B2	B3
24	B2	C1	C1	B2			
