id	A	B	C	D	E	F	G
0	C1	C1	B1				
1	B3	C3	C3	C2	B2		
2	A1	A2	A2	A2	B2	B2	
3	B2	B3	A3	A3	A2	B2	
4	C1	B2	B2	A2	A3	A2	B2
5	C1	C1	B1	C1	C1	C1	B2
6	B2	C3	C2	B2	B2	B2	C1
9	B	B2	A2	B1	B1		
10	B2	C2	C2	B3	B3	B3	B2
11		B2	B3	B3	B2	B2	C1
12	C1	C2	B2	B1	B2		
13	B2	A2	A2	A2	A2	B2	
14	B1	B1	A1	A1	A1	B1	A1
15	B2	A3	B3	B3	A3	B3	A3
16	B2	C2	C2	C2	B2	B1	B1
17	B2	B1	B1	A2	A2	A2	B1
18			B2	B2	B2	B1	B1
19	B2	B1	B1	B1	B1	B1	
20	B2	A2	A2	B2			
21	B1	B1	B1	B2			
22	B2	A2	A2	B2			
23	B2	C2	B2				
24	B2	C2	B2				
25			B	B2	A1	A1	A1
