id	A	B	C	D	E	F	G
0	B2	A2	B2				
1	B2	A3	A3				
2	B2	C3	B3	B3	B3	B3	B2
3	A1	B2					
4		B2					
5			A2	A2	A2	B2	B2
6		B2					
7		A2	A3	A3	A3	A3	A1
8	B2	C1	C1	C1	B2		
9			A2	A2	A2	A2	A1
10	B2	C3	C3	B2			
11				B2	B2		
12			B2	A2	A2	A2	A2
13	B2	B1	A2	A2	B3	B2	B1
14			B2	B3	B3	B3	A3
15		B2	C2	B1	B1	C1	C1
16		B2	B2	B2	A3	A3	A2
17		B2	A3	A3	A3		
18		B2	B2				
19		B2	A2	A2			
20		B2	A2	A2	B1	B1	B1
21		B2	A1	A1			
22		B2	C1	B1	C2	C2	B1
23		B2	A1	A1	A1		
24	B1	B1	B1				
25	A2	A1	A1	A1			
26		B2	C1	C1	B1	A1	
27	B2	B1	B1	B1	B2	B2	B2
28		B2	C2	C2	C3		
29	B2	C1	C1				
30		B	B2	C2	C2		
31			B2	B1	B1		
