id	A	B	C	D	E	F	G
0	B2	A2	A2	A1	A1	A2	A2
1	B2	A1	B1	B1	B1	B1	B1
2		B2	A1	A1	A1	B2	B3
3			B2	B1	B1	B1	A2
4				B2	A1	A1	A1
5						A1	A1
6					B2	B1	B1
7			B2	C1	C1	C1	C1
9	B2	C1	C1	C1	B1	B1	
10	B2	C3	C2	C1	C1	B2	
11						B	B2
12			B2	B3	B3	B3	B3
13		B2	B2	B2	C2	C2	C3
14	B	A2	A2	A2			
15					B2	A3	A3
16	B2	C1	C1	C1	B2		
17			B2	B1	B1	B1	B2
18			B2	A2	A2	A2	B2
19			B2	B2			
20		B2					
21		A1	A1				
22		B2	B2	C2	C2	B3	B3
23			A2	A2	A2	A2	B2
24			A2	A2	A2	A2	B3
25					B2	A1	A1
26	A2	A1	A1	A1	A1	A1	A1
27			A2	A2			
29	B1	C1	C2	C2	B2		
30			B1	B1			
