id	A	B	C	D	E	F	G
0	B1	C1	B1	B2			
1	B2	B2	C3	C3	B2		
2	B2	C1	C1	C1	C1	C2	B3
3		B2	B1	B1			
4	A1	A1	A1	A1			
5	A2	A2	B2	C1	B2		
6	B2	B2	B2	B1	B1	A1	
7		B2	B2	C3	C3		
8				B2	B3	B3	B3
9	B2	C2	C2	C3	A3	B2	B2
10	A1	A1	A2	A2	A2	B1	B1
11	B2	A1	A1	B2	C2	C3	B3
12	B2	A1	B1	C1	C2	B2	
13	B2	C3	C3	B2	A2	A1	B1
14	B2	B1	A2	A2	A3	B3	C2
15	A1	B1	B1	A2	B3	B3	B2
16	B2	B2	A3	A3			
17	B2	C1	C1				
18	A2	A3	A2	A2	A1	A2	B1
19	B2	A2	A2				
20	B2	A2	A3	A2	B1	A2	B2
21		B2	B1	B1	A1		
22	B	B2	C2	C1	C1	B2	A3
23	B1	B1	C2	C2	B2	B2	A1
