id	A	B	C	D	E	F	G
1			B2	A2	A2	A2	B2
2					B2	A1	A1
4	B1	B1	B2	C2	B2		
5				B2	C3	C3	C3
6	B	A2	A2	A2	B1	B1	A1
7				B2	A1	A1	A1
8	A1	A1	A2	A2	A2	B2	C2
9		B2	B3	B3	B2	B2	A1
10		B2	C2	B2	B2	B3	B3
11			B2	C1	C1	C1	B1
12	B2	C3	B3	B3	B3	B3	B3
13			B2	C3	C3	C3	C3
14					B2	B1	B1
15				B2	B3	B3	B3
16			B1	B1	B1		
17			A2	A2			
18		B2	C1	C2	C2	C2	C2
19				B2	C2	C2	C2
21		B2	A1	A1	A1	B2	
22	B2	C3	C3	B2	A2		
24	A2	A1	A1	A1	A1	A2	A3
25				B2	A3	A3	A3
26		B2	A1	A1	A1	A1	A1
27			B1	B1	B1	A2	A3
29		B2	A1	A1	A1		
