id	A	B	C	D	E	F	G
0		B2	B1	B1	B1	C1	
1	B2	B3	A3	B2	B2		
2	B1	B1	B1	A2	A2	B2	
3	B1	B1	B1	B2	B1	B1	A1
4	B2	C2	C2	B2			
5	B2	C2	C3	C2	C2		
6	B2	A2	A2	A2	B2	B2	
7	B2	A1	A1	A1	A1	B2	B2
8			B2	B2			
9	B2	C2	B2	A2	B3	B3	A2
10	C1	C1	C1	C1	C1	B2	
11	B2	B1	B1	B1			
12		B2	A2	A2	A2	A2	A3
13	B2	A3	B3	B3	C2	B2	
14	C2	C2	C2	C2	B1	B2	B2
15	B2	A2	A1	A1	B1	B2	
16	B2	B1	B1	B1	A2	A2	A2
17	B2	A3	B3	B2	C1	C1	B2
18		B2	C2	B2	B1	C1	B1
19	B2	B2	B1	A1	A1	A1	B2
20	B	B2	B3				
21	B2	B2	B2	A2	A1	A1	A1
22	B2	B3	B3	B3	C3	C2	B2
23	C1	C1	B1	B1			
24		B1	B1	B1	B1	B1	B1
25		B2	B1	C1	C1		
26					B2	C2	
27	B2	A2	A2	A2	A2	B2	
28						B2	C1
