id	A	B	C	D	E	F	G
0	C2	C3	B2				
1	A2	B2	B2	B3	B3	A2	A2
2	C3	C3	C3	C3	C3	B2	
3	A2	A1	B1	C2	C2		
4	B2	C3	B2	B2	A1	A2	A1
5	B2	C1	C1	C1	B2		
6			B2	B3	B3	B3	A1
7	B2	B3	A3	A3	A3	A2	B2
8	B1	C1	B1				
9		B2	C1	C1			
10	C2	C2	C2	C2	B3	A3	A3
11	B2	B2	B1	B1	A1	A1	
12	A1	A2	A2				
13	B1	B1	C1	C1	B2		
14	B2	A3	A3	A2	A1	A2	B2
15	B1	A1	A2	A2	B3	A3	A2
16			B1	B1	B1	B1	A1
17			A2	A2	A2	A2	A2
18	B2	C3	C3	B2			
19		B2	B2				
20	B1	B1	B2				
21	B2	C1	C2	C2	B2	B2	
22		B2	C2	C2	B1	B1	B1
23	B1	C3	C3	B2	A2	A2	A1
24		B2	A1	A1	A1	B1	C1
25	B1	C1	B2				
