id	A	B	C	D	E	F	G
0			B2	B1			
1		B2	B2	B2	A2		
2	B2	A3	B3	B2	C2	C2	B2
3		B2	B3	B3			
4	C2	C2	C3	B3	A3	B2	B2
5		C1	C1	C1			
6		B2	A1	A1	A1		
7	B2	C2	C3	B2	B3	A3	B2
8	C1	C1	B1	B1	B2	B3	A3
9		B2	B2	B2			
10	B2	C2	C2	C2	B2	B1	B1
11	B2	A2	A1	B1	B1	A1	A2
12	B1	C1	B2	C2	B2		
13			B2	B2	B2	B2	
14	B2	A1	A1	A2	A1	B1	
15	B2	B1	B1	A1	A2	A1	A1
16	B1	B1	B1	C1	C1	C2	C2
17		B1	B1	B1	B1	A1	A1
18	B2	C2	C2	B1	B1	A1	A2
19	B2	B1	B1	B1	C1	C1	B1
20	B1	B1	B2	A2	B2	B2	B1
21			B2	B2			
22	B2	A2	A2	A3	A3	A2	A2
23	B1	B1	C1	C2	C2	B2	
24	B2	B3	A2	A2			
