id	A	B	C	D	E	F	G
0	B2	B3	A3	A3	A3	A3	B2
1		B2	C1	B1	B1	A1	A1
3	B1	C2	C2	C2	C2	A1	B2
4	B2	C1	C1	C1	B1		
5	B2	C1	C1	C1	C2	B3	B2
6	B1	B1	B1	A2	A2	A1	A2
7	C2	B1	A2	A3	B2	B2	C1
8	B1	B1	C2	C3	C2	C3	B3
9				B2	A3	A3	A3
10	A2	A2	A2	A2	B3	B3	A2
11		B2	B2	B2	B2	C2	C2
12	B2	C3	B2	A2			
13		B2	A1	A1	B1	B1	A2
14	B2	B2	C2	C2	B1	A1	B1
15	B2	B2	B1	B1	B2	B3	B2
16			B2	C3	C3	C2	
17	B1	A1	A2	B2	B2	B1	B1
18		B2	A1	A1	A1		
19		B2	C1	C1	B2	B3	B3
20	B2	C3	C3	C3	B2		
21			B2	C1	C1	C1	A1
22	A2	A1	A2	B1			
23	B1	A1	A1	B2			
24		B2	A3	A3	A3		
25			B	B2	C2	C2	
26		B2	A1	A1	A2		
27	B2	A3	A3	A2			
28						B2	B3
