id	A	B	C	D	E	F	G
2		B2	C1	C1	C1	C1	C2
3	A1	B2	A2	A2	A2	A1	A1
4	B2	A1	A1	A2	B3	B3	B2
5	C2	C1	C1	C2	C2	B2	
6				B2	B2	B2	B2
7	A2	A1	B1	B1	B1	B1	B1
8	B2	B3	A3	A3	A2	A2	B2
9	B2	C2	C2	C2	C2	B2	
10	B2	B3	A3	B3	B2	B2	B1
11	B2	B1	B1	B1	A1	A1	A1
13	B2	B1	B2				
14	B1	C1	C1	B2	B3	B3	B2
15	B2	B2	C1	C1	C2	B2	B1
16	B2	A2	A2	A2	A2	A2	B1
17	B3	B3	C2	C1	B2	B3	B3
18	C2	C2	C1	C1	C1	B1	B1
19		B2	A1	A1	A1		
20	B2	B1	B1	B1	B1	A1	A2
21			B2	A2	A2	A2	A3
22	B	B2	A2	A2	B3	B2	
23	B1	B1	B1	B1	B1		
24	B1	B2					
25	B2	B3	A3	B2	B2		
26		B2	C2	C2			
27	B2	B3	B3	B2	B1	B1	B1
28	B2	A2	B2				
