id	A	B	C	D	E	F	G
0	B2	B2	B2	B3	B2		
1	B2	C2	C3	B2			
2	B2	A2	A2	B1	B2		
3	B1	B1	B1	B1			
4	B1	A1	A1	B2			
5	B2	B2	C2	B2	B3	A3	B2
6	B1	B1	B1	B1	B2	C2	C1
7	B2	B2	B2	A2	A2	B1	C1
8	C1	C1	B1	B1	B1	A1	B1
9		B2	C1	C1	C1	C1	
10	B2	A2	A2	A2	A2	A2	B3
11	B2	B1	C1	C1	C2	C2	B1
12	B2	A3	A3	B2	B3	B3	B2
13	B2	A2	A2	B2			
14	B2	B1	B1	B1	A2	B2	
15	B2	B2	B3	B2	B2	B2	B2
16	B2	A3	B3	B2			
17		B2	A2	A2	B2	C2	
18	B2	A1	A1	B1	B1	B1	C2
19	B2	C1	C1	B2	B2	A2	A2
20		B2	C1				
21	B2	B3	B3	B3	B2	B2	A2
22	B2	A1	B1	B1	A1	C2	C2
23	B2	B1	B1	B2	A2	A2	A3
24	B2	A1	A1	B1	B2		
25	B2	B2	B1	C1	C1	C2	C2
26	B2	A1	A1	B2			
