id	A	B	C	D	E	F	G
0	B1	B1	B2	B2			
1	C1	C1	B2				
2	B2	B2	B2	B2	B3	A3	B2
3	B1	B1	A1	A1	A1	B2	
4	B2	A2	A1	A1	B2		
5	B1	B1	C1	C1	B2		
6	B2	A2	B2				
7	B2	B2	B2	B2	C2	C3	C2
8	B2	A2	B2				
9	B2	B1	B1	C1	C1	B1	A1
10	B2	C2	B2	A2	B2	C2	C2
11	B2	B3	B3	A3	B2	B2	
12	B2	A2	A1	B1	B1	B1	A2
13	B2	B3	A3	B3	B2	B1	B1
14	B1	B1	B1	A2	A2	A2	A2
15	B2	B2	B2	B1	B1	B1	C2
16	B2	A2	A2	A2	B2	B3	A2
17	B1	B1	A2	A2	B2	C2	B1
18	B2	B2	B2	C1	B1	A1	A2
19	B2	B1	B2	B2	B2	B2	B2
20		B1	B1	B1	C1	C1	B2
21	C2	C2	C1	B1	B1	C1	C1
22	B2	C2	C3	B2			
