id	A	B	C	D	E	F	G
0				B2	A2	A2	A2
1				B2	A3	A3	A3
2	B1	B2					
3		B2	A1	A1	A1	A1	A1
4			B1	B1	B1	B1	C2
6		B	B2	C2	C2	C2	C2
7		B2	A1	A1	A1	A2	
8		B2	B3	B3	B2	B1	A1
9	B1	C2	C2	C2	B2	A2	B2
10		B2	A1	A1			
11				B2	C3	C3	C3
12		B2	A1	A1			
13	B1	C1	B1	B2	B2	B2	C1
14		B2	B2	B1	B1	B1	B1
15		B2	B2	A2	A2	B1	A2
16	B1	B1	B1	A1	A1	A2	A3
17	B2	A3	A3	A3	A2	A1	
18	B1	B2					
19		B2	B2	B2			
20	A2	B3	C3	B3	B2	A1	B2
21	A2	A1	B2	B2	C1	C1	B2
22		B2	B2	C2			
23		B2	A1	A1	A1		
24	B	A2	A2	A2	B3	B3	B3
25	B2	C3	C3	C3	C2	C2	C2
26			B2	B1	B1	B1	A1
