id	A	B	C	D	E	F	G
0				A2	A3	A3	A3
1				B2	A2	A2	A2
2	B1	B2					
3			A2	A2	A2	A2	A1
4		B	B2	C2	C2	C2	C2
6			B2	B1	B1	B1	B1
7		B2	A1	A1	A1	A2	A1
8		B2	B3	B3	B3	B3	A3
9	B2	B2	C2	C2	B2	A2	B3
10		B2	A1	A1			
11				B2	C3	C3	C3
13	B2	B1	B1	B2	B3	B2	C1
14	C1	C1	C1	C1	B1	C1	C2
15		B2	C1	B1	B1	C1	B1
16	A1	A1	A2	A2	B1	B1	B2
17	B2	A3	A3	A3	A2	A1	
18	B1	B2					
19		B2	B2	B2			
20	B2	A2	B1	B1	B2	C3	C3
21	A2	A1	B2	B2	C1	B1	
22		B2	B2	C2			
23		B2	A1	A1	A1		
24		B2	B2	A2	B3	B3	B3
25	B2	C3	C3	C3	C2	C2	C2
26			B1	B1			
