id	A	B	C	D	E	F	G
1	A1	C2	C2	C2	B2		
2			A2	A2	A2	A2	A3
3			A2	A2	A2	A2	B1
4	B1	B1	C1	C2	C3	C3	A2
5	B3	B3	B3	B3	B2		
6	B1	A2	A3	A3	A3	A2	A1
7	A2	A2	A2	A2	B1	B2	
8		B2	C2	C2	C2	C3	C3
9	B2	B2	B1	B1	B1	C2	C2
10	A2	A3	A2	A1	B1	C2	B2
11	B1	B1	B1	A2	A1	A1	B2
12	B2	C3	B2				
13		B2	B2	C2	B1	A1	A2
14	C2	B2	B2	B2	B2	B2	B2
15	B2	C1	B1	A1	A2	A1	B1
16	B2	B2	B2	A2	A3	A3	B3
17	A2	A1	B1	B1	B1	B1	C2
18	B2	A3	A2	A2	A2		
19	B2	C1	C1	C1	C1		
20	A1	B2	A2	B3	B3	B3	B2
21		B2	B2	B2	B2		
22	B1	B1	A1	B1			
23	C2	C3	C3	B3	B2	A1	A1
