id	slack_time	departure_time	return_time
0	2200	-63	490
1	1192	-74	282
2	938	0	440
3	1549	-45	542
4	1698	0	331
5	1397	-43	311
6	1481	0	708
7	3186	-49	610
8	1108	-57	159
9	8	15	203
10	2102	-51	227
11	755	-42	403
12	33	-108	297
13	0	0	190
14	668	-42	245
15	1349	-45	320
16	1213	-85	460
17	486	-84	388
18	18	-41	191
19	638	0	180
20	2352	0	431
21	103	-78	334
22	1347	-24	587
23	1299	-49	333
24	1092	0	393
25	2470	-21	482
26	3206	-37	265
27	2356	-12	651
28	2063	-44	524
29	1287	0	341
30	2344	-35	252
31	1697	0	510
32	1172	-25	336
33	1267	-74	405
34	2567	-11	610
35	2610	0	573
36	1459	-33	733
37	2032	-50	242
38	1287	-8	390
39	415	97	246
40	1062	2	409
41	2365	-51	640
42	1146	-70	678
43	703	-64	594
44	659	-17	313
45	1210	0	448
46	2311	-13	575
47	2296	-23	188
48	2401	-18	512
49	1465	-20	234
50	890	-94	524
51	1756	-44	472
52	1420	-47	220
53	1159	-57	264
54	988	-67	231
55	117	331	428
56	1092	0	483
57	1103	-59	238
58	949	-68	298
59	596	-94	386
60	881	-24	614
61	233	29	631
62	1068	-26	659
63	557	-44	678
