id	A	B	C	D	E	F	G
0	D1	B2	A3	C2	C1	C3	
1	F3	E4					
2	C4	C2	D2	D2	D2	D6	C6
3	E5	D4	B4	A6	C4		
4	E2	D1	E3	D3			
5	C5	B3	B1	A1	C3	C3	C3
6	C4	D5	C5	A2	A2	D3	B5
7	C5	F5	F4	F2	F5	C5	C4
8	D6	C6	E3	F3	D5	D4	
9	D4	D3					
10	A3	A5	B6	B5	D3	E1	B4
11	E4	E5	D2	D2	F5	E6	D5
12	F5	F4	D4				
13	B4	C3					
14	E4	D2					
15	E2	F1	F1	C2	B2	D2	
16	A5	A6	B4	B4	C6	D5	
17	D5	B6	C4				
18	E3	E2	D3				
19	D4	C6	D5	D4			
20	C3	E2	D1	D3			
21	A3	A6	C6	C4			
22	E4	E4	E4	D3	A1	B2	D4
23	C6	E6	E6	B4	C4	D3	
24	D4	B1	A3	C4			
25	B2	A2	C3	C4	D3	D3	C4
26	E3	E2	F1	F2	F1	D2	
27	B4	A5	D3	F6	F6	F3	F3
28	C2	B1	A4	A4	A4	A3	D4
29	D4	B4	B4	C4			
30	C1	D1	C4	B6	D3	D3	
31	D3	F3	F1	D1	D3		
32	C4	B5	B5	A4	C6	C4	
33	C1	D4	E6	F6	C6	C5	
34	B4	A3	A2	C4	D5	C5	B2
35	D3	D6	B5	D1	C1	B1	C2
36	B4	D3	C3	C3	B4	D3	F1
37	E2	E3	E3	D1	D3		
38	C4	D6	F5	D4			
39	C4	D6	D6	D4			
40	B3	D1	E1	E4	D2	C3	
41	D2	E1	E1	E3	E5	F4	E1
42	E4	F3	C2	B3	B2	C3	
43	F2	F2	F2	A3	A5	A6	A4
44	D4	B3	C3				
45	C4	D3	F6	D4			
46	D4	E4	F2	F3	F3	D3	C2
47	B4	D2	C2	A5	B4	C2	E4
48	C2	A2	B1	B2	B2	B3	C3
49	D2	B4	B4	B4	E6	A4	B4
50	B1	B2	B2	B2	D3	E3	C4
51	D2	F3	F5	D4			
52	C5	D6	E4	B1	B1	E4	D4
53	B4	A2	E2	C2	A2	C3	
54	B3	B4	C3	D1	D1	E2	
55			D3	D3	D3	D3	
56	D5	B6	A3	B2	C3		
57	A5	E6	E6	B5	C4		
58	E3	E6	B4	D4	F5	D4	
59	E6	A5	D3	D3	C2	C3	
60	E3	E5	C4	C4	C4	E3	F4
61	B4	A5	D3	E2	E4	D4	
62	D4	E1	E1	E1	E1	D3	
63	D5	D5	D5	D5	D5	D4	
