id	A	B	C	D	E	F	G
0	A1	A1	A1	A3	B2	B2	
1	B2	B2	B2	A2	A2	A2	B1
2	B2	B2	B1	C1	C1	C2	C2
3	A2	B3	C2	C2	B3	B2	
4	A1	A2	B2	C2	C2	B2	
5	B2	A2	A2	A2	B3	C3	B2
6	B2	B2	B2	B1	B2	C3	C2
7	B1	C1	B1	A1	A1	A1	B2
8	B1	C2	C2	B2	B2		
9	A1	A2	A3	A3	B3	C2	C2
10	B1	C1	C1	B2			
11	A2	A3	A3	B3	B2		
12	C1	C2	B2	B2			
13	B1	A1	A2	A3	A2		
14	C2	C1	B1				
15	A1	B1	C2	C3	B2		
16	A2	A1	B1	B2	C3	C2	B2
17	A2	A3	A2	B3	B2	B1	B2
18	C3	C3	B2	B2			
19			A2	A2	A2	A1	B1
20	A1	A1	A1	B1	B1	A2	B2
21	C1	C1	B2				
22			B1	B1			
23		B2	B1	B1	B1	C2	
