id	A	B	C	D	E	F	G
0	B2	A3	A2	B1	B1	B1	
1	B2	C3	B3	C3	C2	B2	
2	B2	C2	C2	C3	C2	B2	
3	A1	B2	B2	B2			
4	A2	A1	B2	B2			
5		B2	B2	B1			
6		B2	C1	C1	B1	B1	
7	B1	B1	C1	C2	C2	B2	
8	B2	B1	B1	B1	B2		
9	B1	C1	C1	C2	C2	B2	
10		B2	B2	A1	A1	A2	
11	B2	A2	A3	A3	A3	A3	
12	B2	C1	C1	B1	A1	B2	
13		B2	B2	B2	B3	B2	B2
14	B	A2	A2	A2	B2	C3	B3
15	B2	B1	B1	A2	A2	A2	
16	A1	B2	B2	A2	B1	B1	
17	B2	C3	C3	C2	B1	B1	A1
18	A1	A1	A2	A2	A3	B2	B2
19		B2	C3	C3	C3	B2	B2
20		B1	B1	C1	C1	C1	C1
21		A2	A2	A1			
22	B2	A1	A1	A1	A1	A1	A1
23		A1	A1	A1			
24		B2	A2	A2	A2	B3	A3
25		B2	C2	B1	B1		
26		B2	A2	A2	B3	B2	
27			B1	B1	B1	B2	
28			B1	B1	B1		
