id	A	B	C	D	E	F	G
5				B2	A3	A3	A3
6						A1	A1
7				A2	A1	A1	
8		B2	C1	C1	C2	C2	C1
10		B2	A1	A1	A1	A1	A2
11			B2	B2	B2	B2	A2
12	B2	A3	A3	B3	C3	B3	B2
13		B2	A3	A3	A3		
14		B2	A2	A2			
17	A2	A1	B2	C2	C2	B2	
18	B2	A2	A2	A1	B2	B2	A1
19			A2	A2	A2	A2	B3
20	A1	A1	A2	A2	B2		
21	B2	C1	C1				
22			A2	A2			
23	B2	C1	C1	C1	C1	C2	
24		A2	A2	B1	B1	B1	A2
25		B2	C2	C2	C2	C2	B3
26	B2	C3	B3	B2	B1	B2	
27		B2	A2	A2	B3	B3	B1
28	B2	C3	C3	B2	B2	A1	B1
29	B1	B1	B1	A1	A1	A1	B1
30		B	B2	C2	C2		
31		B2	C3	C3			
32			B2	C3	C3		
33	B2	B1	B2	C3	C3	C3	B3
34		B2	A1	A1	A1		
