id	A	B	C	D	E	F	G
0	B1	C1	B1				
1				B	B1	B1	B1
4				B2	B3	B3	B3
5	B2	C1	C1	C2	C2	C2	C2
6				A2	A1	A1	
7		B2	B2	C3	C3	B3	B2
8				B2	C3	C3	C3
9	B2	C1	C1	C1	B1	B1	B1
10		B2	A1	A1			
11		B2	C1	B1	B1	B2	B3
12	B2	A1	A2	A2			
13	B2	C3	C3	B2			
15	B2						
16	B2	C3	C2	B3	B3	B3	A2
17	B2	A3	A3	C3	B3		
18		B2	C3	C3			
19		A2	A3	A3	A2	A3	B3
20			B1	B1	B1		
21	B1	B2					
22		B2	A1	A1	A1		
23	B1	C1	B2	A2	A2	A2	B2
24		B2	B2	A2			
25	A2	A1	A1	B1	B1	A1	B1
26		B2	B2				
27			B2	C2	C2	C2	
28		B2	A3	A3	A3		
29			B1	B1			
30	B1	B1	B1	A2	A3	B1	B1
