id	A	B	C	D	E	F	G
0	B1	C1	B1				
1		B2	C1	B1	B1	B1	B1
2	A2	B2					
4				B2	B3	B3	B3
5	B2	C1	C1	C2	C2	C2	C2
6			B2	B2	B2	B2	
7		B2	B2	A2	A2	A1	A2
8				B2	C3	C3	C3
9		B	B2	C2	C2	C2	B1
10			B1	B1	B1		
11		B2	A1	A1	A1	A2	A3
12		A2	A3	A3	A1	A1	B2
13	B2	C3	C3	B2			
15	B2						
16		B2	B2	B2	B2	B3	A2
17	B2	A3	A2	B3	C3	B2	A1
18		B2	C3	C3			
19		B2	B2	B2	B2	B3	A3
20			B1	B1	B1		
21	B2	C1	C1	C1	B2		
22		B2	A1	A1	A1		
23		B2	B2	C2	C2	C1	B2
24	A2	A1	A2	A2	B2		
25	B1	B1	A1	B1	B1	A1	B1
26	B2	C3	C2	C1	C1	B2	
27			B2	C2	C2	C2	
28		B2	A3	A3	A3		
29			B1	B1			
30	B1	B1	B2	A3	A3	B3	B2
