id	A	B	C	D	E	F	G
0		B2	B2	A2	A2		
1	B2	A2	A3	A3	B3	B3	B2
2		B2	B2	A1	A1		
3	B1	B1	A2	B2			
4		B2	B3	B3	B2		
5		B2	C1	C1	B1	A1	A1
6			B1	B1	B1	B1	A3
7	B2	A3	A3	B2	B1	A1	B2
8				B2	C2	C2	C2
9	A1	A2	A2	A2	A2	A2	B2
10		B2	A1	A1	A1		
11		B2	A2	A2	A2	B3	C3
12		B2	B2	B2	B3	B2	A1
13		B2	B1	B1			
14		B2	A1	A1	B1	C1	
15		B2	C1	B1	B2	A1	
16		A1	A1	A1	A2	A1	A2
17			B2	B3	B3	B3	C3
18		B2	B2	B2	B2	B2	C2
19	B2	C3	C2	C2	B1	B1	
20		B2	C2	C2	B1	B1	B1
21	B2	B1	B1	C2	C2		
22		B2	B2	C1	C1	C1	
23	B2	C3	C3	B2			
24	B2	A1	A1	A1	B1	B1	B1
25			B1	B1	B1	A2	
26		A2	A2	A2			
27		B1	B1	B2	A3	A3	B2
28	B2	C1	C1	C1	B1	B2	B2
29			A2	A2	A2		
30						B2	A1
