id	A	B	C	D	E	F	G
0		B2					
1	B2	A2	B2	B2	B2	B2	B2
2		B2					
4		B2	B3	B3	B2		
5			B1	B1	B1	B1	A1
6				A2	A3	A3	A3
7	B2	A3	A3				
8				B2	A3	A3	A3
9	A1	B2	B2	B2			
11		B2	A1	A1	A1	A2	A2
12		B2	A1	A1	A1	A1	A2
14		B2	A1	A1			
15			B2	B3	B3	B2	
16		A1	A1	A1	A2	A1	A1
17		B2	A2	A2	B2	B2	B3
18		A2	A2	A2	B2	B2	A2
19	B2	C3	C2	C2	B1	B1	
20	B2	B1	B1	B1	B1	B1	B1
21		B	B2	C2	C2		
22		B2	B2	C1	C1	C1	
23	B2	C3	C3	B2			
24	B2	A1	A1	A1	B1	A2	A2
25		B2	A2	A2	A2		
26	B	A2	A2	A2			
27	B1	B1	B1	C2	C2	C1	B2
28	B2	C1	C1	C1	B1	B1	
29			A2	A2	A2		
30						B2	A1
